Left_team_title;Left_team_coefficients;Moneybet_for_left_team;Left_team_win_percent;Time_before_match;Right_team_title;Right_team_coefficients;Moneybet_for_right_team;Right_team_win_percent
 85 Alpha Red ;x4.34;239447;21%; Скоро старт ; MVP PK 34 ;x1.24;888890;79%
 89 AVANT ;x1.67;472283;57%; Скоро старт ; 5power 80 ;x2.20;354091;43%
 60 Syman ;x1.60;80720;60%;54м; Unique 74 ;x2.35;53716;40%
 24 Spirit ;x1.54;220121;62%;54м; Nemiga 41 ;x2.49;132763;38%
 70 Gambit Youngsters ;x1.16;3301;85%;3ч 24м; TBD null ;x6.00;595;15%
 128 Warthox ;x13.40;3656;7%;3ч 24м; TBD null ;x1.07;50369;93%
 129 W7M ;x1.97;114;48%;7ч 24м; Bulldozer 141 ;x1.83;124;52%
 138 Team Reapers ;x2.70;142;35%;8ч 24м; Isurus 73 ;x1.48;269;65%
 142 Santos ;x4.03;112;23%;12ч 24м; DETONA 77 ;x1.27;377;77%
 19 AVANGAR ;x1.87;4402;51%;18ч 24м; FURIA 13 ;x1.93;4252;49%
 28 Grayhound ;x1.21;535;81%;18ч 24м; TBD null ;x4.83;126;19%
 21 Sprout ;x1.34;180;72%;20ч 24м; Movistar Riders 37 ;x3.35;69;28%
 18 Tyloo ;x1.01;1136;98%;21ч 24м; TBD null ;x57.80;18;2%
 53 ALTERNATE aTTaX ;x3.35;31;28%;21ч 54м; Ancient 31 ;x1.34;81;72%
 49 Epsilon ;x1.40;112;69%;23ч 24м; Copenhagen Flames 68 ;x3.02;50;31%
 22 forZe ;x1.04;3018;96%;1д; TBD null ;x23.64;120;4%
 32 Tricked ;x1.08;70;92%;1д; Ambush null ;x11.50;6;8%
 56 DreamEaters ;x1.15;94;85%;1д 3ч; TBD null ;x6.29;16;15%
 138 Team Reapers ;;0;0%;1д 7ч; DETONA 77 ;x1.00;65;100%
 90 Keyd ;x1.00;3;100%;1д 7ч; EOX 87 ;;0;0%
 84 paiN ;x1.45;4;67%;1д 7ч; Red Canids 135 ;x2.80;2;33%
 129 W7M ;x1.00;2;100%;1д 7ч; Alma null ;;0;0%
